City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
280,Reserva,-24.6503,-50.8506,75.07,67,79,2.44,BR,broken clouds
281,Umba,66.6871,34.3429,15.67,94,100,13.56,RU,light snow
282,Mount Gambier,-37.8333,140.7667,60.71,67,1,6.91,AU,clear sky
283,Sao Filipe,14.8961,-24.4956,74.62,68,0,12.01,CV,clear sky
284,Ahuimanu,21.4447,-157.8378,74.46,80,20,5.99,US,few clouds
285,Mapastepec,15.4333,-92.9,92.93,32,33,7.7,MX,scattered clouds
286,Karachi,24.9056,67.0822,69.62,64,20,8.05,PK,few clouds
287,Nikki,9.9401,3.2108,85.44,14,0,4.34,BJ,clear sky
288,Talnakh,69.4865,88.3972,-25.67,98,64,2.24,RU,broken clouds
289,Ambilobe,-13.2,49.05,75.74,92,31,3.36,MG,light rain
290,Milicz,51.5277,17.2714,43.11,84,100,19.04,PL,light rain
291,Manokwari,-0.8667,134.0833,78.19,78,100,2.75,ID,overcast clouds
292,Adela,12.4416,120.9729,78.28,68,97,9.04,PH,overcast clouds
293,Comodoro Rivadavia,-45.8667,-67.5,76.86,31,0,13.8,AR,clear sky
294,Kefamenanu,-9.4467,124.4781,71.91,90,82,2.46,ID,broken clouds
295,Roebourne,-20.7833,117.1333,83.84,80,21,4.7,AU,few clouds
296,Komsomolskoye,55.2567,47.5461,7.34,97,100,3.74,RU,overcast clouds
297,Torbay,47.6666,-52.7314,16.88,81,100,17.27,CA,light snow
298,Sisophon,13.5859,102.9737,79.86,55,37,4.61,KH,scattered clouds
299,Puerto Cabezas,14.0351,-83.3888,84.16,74,75,9.22,NI,broken clouds
300,Mariana,-20.3778,-43.4161,75.99,87,100,2.08,BR,overcast clouds
301,Kununurra,-15.7667,128.7333,75.18,94,100,3.44,AU,overcast clouds
302,Gobabis,-22.45,18.9667,71.8,57,83,8.01,NA,broken clouds
303,Verkhnevilyuysk,63.4453,120.3167,-7.1,98,100,5.55,RU,overcast clouds
304,Churapcha,62.0025,132.4325,-33.74,100,100,3.4,RU,overcast clouds
305,Mae Sai,20.4335,99.8762,64.44,97,81,1.41,TH,broken clouds
306,Warrensburg,38.7628,-93.7361,43.09,60,0,7.0,US,clear sky
307,Samarinda,-0.5,117.15,73.22,98,98,2.35,ID,overcast clouds
308,Tignere,7.3667,12.65,72.34,22,54,4.23,CM,broken clouds
309,Dagestanskiye Ogni,42.1159,48.192,39.74,60,68,4.52,RU,broken clouds
310,Nome,64.5011,-165.4064,-0.33,50,0,8.05,US,clear sky
311,Sakaiminato,35.55,133.2333,35.58,75,75,2.3,JP,broken clouds
312,Itaporanga,-7.3044,-38.1503,97.77,25,28,5.97,BR,scattered clouds
313,Narsaq,60.9167,-46.05,7.02,64,100,1.79,GL,overcast clouds
314,Cambridge,43.3601,-80.3127,30.06,68,0,5.01,CA,clear sky
315,Guiratinga,-16.3494,-53.7583,84.96,63,100,2.8,BR,moderate rain
316,Souillac,-20.5167,57.5167,79.36,89,40,11.5,MU,scattered clouds
317,Aosta,45.7667,7.4167,30.36,71,79,7.72,IT,light snow
318,Pangnirtung,66.1451,-65.7125,-31.0,68,75,0.0,CA,broken clouds
319,Egvekinot,66.3167,-179.1667,-14.53,84,3,6.93,RU,clear sky
320,Bukama,-9.2,25.85,69.76,96,98,3.76,CD,light rain
321,Salalah,17.0151,54.0924,75.29,83,0,0.0,OM,clear sky
322,Palmas Bellas,9.2319,-80.0867,89.51,58,27,10.4,PA,scattered clouds
323,Praya,14.9215,-23.5087,79.34,50,0,17.27,CV,clear sky
324,Shunyi,40.125,116.6453,22.95,50,0,6.71,CN,clear sky
325,Morgan City,29.6994,-91.2068,54.03,43,0,6.91,US,clear sky
326,Sitka,57.0531,-135.33,44.49,81,100,19.57,US,light rain
327,Denpasar,-8.65,115.2167,78.46,94,40,2.3,ID,scattered clouds
328,Manacapuru,-3.2997,-60.6206,77.58,70,100,3.78,BR,moderate rain
329,Sept-Iles,50.2001,-66.3821,4.05,56,40,5.01,CA,scattered clouds
330,Alofi,-19.0595,-169.9187,75.09,94,100,4.61,NU,overcast clouds
331,Diamantino,-14.4086,-56.4461,84.67,72,97,4.27,BR,overcast clouds
332,Dunhua,43.3725,128.2425,0.37,87,20,5.77,CN,few clouds
333,Husavik,66.0449,-17.3389,24.71,78,100,9.93,IS,light snow
334,Pandan,14.0453,124.1694,76.64,87,71,15.84,PH,broken clouds
335,Pop,40.8736,71.1089,36.09,86,100,8.25,UZ,overcast clouds
336,Fukue,32.6881,128.8419,43.93,62,85,16.37,JP,overcast clouds
337,Iqaluit,63.7506,-68.5145,-32.31,66,20,1.99,CA,few clouds
338,Antalaha,-14.9003,50.2788,76.59,87,80,5.3,MG,broken clouds
339,Kapuskasing,49.4169,-82.4331,15.89,79,100,3.44,CA,overcast clouds
340,Bitung,1.4451,125.1824,77.85,85,100,9.78,ID,overcast clouds
341,Luwuk,-0.9516,122.7875,76.84,84,96,3.29,ID,overcast clouds
342,Sunrise,26.1577,-80.2861,82.0,63,40,1.01,US,scattered clouds
343,Sault Sainte Marie,46.5168,-84.3333,25.36,83,100,3.44,CA,overcast clouds
344,Zhezkazgan,47.8043,67.7144,25.75,97,100,10.83,KZ,snow
