City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
64,Souillac,-20.5167,57.5167,80.37,89,75,21.85,MU,2022-02-05 19:23:28
65,Balakhninskiy,58.0106,114.2769,-8.0,100,99,2.53,RU,2022-02-05 19:31:34
66,Puerto Ayora,-0.7393,-90.3518,82.36,85,86,5.01,EC,2022-02-05 19:23:22
67,Atuona,-9.8,-139.0333,78.96,76,6,22.3,PF,2022-02-05 19:31:35
68,Hilo,19.7297,-155.09,77.11,75,0,0.0,US,2022-02-05 19:28:59
69,Bintulu,3.1667,113.0333,77.41,94,20,3.0,MY,2022-02-05 19:31:35
70,High Prairie,55.4334,-116.4858,29.97,84,100,9.15,CA,2022-02-05 19:31:35
71,Kavieng,-2.5744,150.7967,81.14,78,38,6.06,PG,2022-02-05 19:31:36
72,Amga,60.8953,131.9608,-18.27,99,100,1.74,RU,2022-02-05 19:31:36
73,Ancud,-41.8697,-73.8203,74.23,59,16,7.16,CL,2022-02-05 19:25:55
74,Port Alfred,-33.5906,26.891,70.48,83,93,25.52,ZA,2022-02-05 19:31:37
75,Saint-Joseph,-21.3667,55.6167,80.98,83,100,16.91,RE,2022-02-05 19:31:37
76,Outjo,-20.1167,16.15,66.92,81,100,8.3,NA,2022-02-05 19:31:37
77,Nikolskoye,59.7035,30.7861,24.87,95,100,9.04,RU,2022-02-05 19:31:38
78,Sayyan,15.1718,44.3244,57.87,65,93,1.66,YE,2022-02-05 19:27:13
79,Bucak,37.4592,30.595,37.51,58,0,3.65,TR,2022-02-05 19:31:38
80,Mahon,39.8885,4.2658,50.56,87,20,5.75,ES,2022-02-05 19:31:39
81,Margate,51.3813,1.3862,49.96,75,100,10.0,GB,2022-02-05 19:31:39
82,Madang,-5.2246,145.7966,75.51,92,97,5.93,PG,2022-02-05 19:25:57
83,Nouadhibou,20.931,-17.0347,67.98,88,0,18.41,MR,2022-02-05 19:31:40
84,Upernavik,72.7868,-56.1549,-2.02,99,100,4.5,GL,2022-02-05 19:31:41
85,George Town,5.4112,100.3354,80.89,84,20,0.0,MY,2022-02-05 19:30:25
86,Piacabucu,-10.4056,-36.4344,81.84,67,100,12.57,BR,2022-02-05 19:31:41
87,Tuktoyaktuk,69.4541,-133.0374,-32.8,68,20,10.36,CA,2022-02-05 19:32:42
88,Clyde River,70.4692,-68.5914,-27.17,75,40,10.36,CA,2022-02-05 19:28:28
89,Portland,45.5234,-122.6762,50.83,80,75,1.99,US,2022-02-05 19:32:42
90,Zhuhai,22.2769,113.5678,60.06,77,40,12.66,CN,2022-02-05 19:32:42
91,Yeppoon,-23.1333,150.7333,73.18,70,50,18.3,AU,2022-02-05 19:32:43
92,Ayan,56.45,138.1667,-8.07,76,36,13.94,RU,2022-02-05 19:32:43
93,Fairbanks,64.8378,-147.7164,3.6,79,100,0.0,US,2022-02-05 19:27:50
94,Pacific Grove,36.6177,-121.9166,65.39,49,0,4.0,US,2022-02-05 19:32:43
95,Teahupoo,-17.8333,-149.2667,76.96,72,31,19.93,PF,2022-02-05 19:32:44
96,Vao,-22.6667,167.4833,79.9,87,48,9.13,NC,2022-02-05 19:32:44
97,Summerside,46.3959,-63.7876,20.68,90,100,20.98,CA,2022-02-05 19:32:44
98,Port Lincoln,-34.7333,135.8667,68.09,75,99,16.55,AU,2022-02-05 19:30:23
99,Kloulklubed,7.0419,134.2556,81.1,80,95,22.39,PW,2022-02-05 19:32:45
100,Luderitz,-26.6481,15.1594,68.09,78,97,3.49,NA,2022-02-05 19:32:45
101,Lerwick,60.1545,-1.1494,37.4,59,94,36.8,GB,2022-02-05 19:32:46
102,Ponta Do Sol,32.6667,-17.1,68.13,50,1,11.07,PT,2022-02-05 19:32:46
103,Manggar,-2.8833,108.2667,77.7,87,100,7.83,ID,2022-02-05 19:32:46
104,La Asuncion,11.0333,-63.8628,73.13,88,4,12.66,VE,2022-02-05 19:32:47
105,Kupang,-10.1667,123.5833,78.98,85,59,10.02,ID,2022-02-05 19:32:47
106,Dingle,10.9995,122.6711,74.71,83,88,11.16,PH,2022-02-05 19:27:04
107,Inhambane,-23.865,35.3833,78.78,83,40,6.91,MZ,2022-02-05 19:24:46
108,Ballina,-28.8667,153.5667,71.56,76,75,16.11,AU,2022-02-05 19:32:48
109,Jablah,35.3614,35.9256,48.49,81,40,4.61,SY,2022-02-05 19:32:48
110,Bengkulu,-3.8004,102.2655,73.27,96,100,8.72,ID,2022-02-05 19:32:48
111,Lgov,51.6307,35.2775,18.95,96,100,12.44,RU,2022-02-05 19:32:49
112,Veinticinco De Mayo,-35.4323,-60.1727,69.06,86,91,13.0,AR,2022-02-05 19:32:49
