City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
566,Nabire,ID,76.51,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
569,Namibe,AO,75.06,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
586,Waingapu,ID,78.94,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
587,Pontalina,BR,80.01,overcast clouds,-17.525,-49.4472,Hotel Entre Rios
590,Tarauaca,BR,78.93,light rain,-8.1614,-70.7656,Flat Temporada
591,Lobito,AO,76.23,overcast clouds,-12.3481,13.5456,Casa Rosa Hotel Residence
592,Kirakira,SB,80.85,overcast clouds,-10.4544,161.9205,SanBiz Lodge
599,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
603,Maunabo,PR,75.04,moderate rain,18.0072,-65.8993,Maunacaribe
608,Bakel,SN,87.26,clear sky,14.905,-12.4568,Ablaye Diallo Bakel
610,Chilca,PE,78.08,overcast clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
612,Pointe Michel,DM,88.74,scattered clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
615,Luanda,AO,78.8,few clouds,-8.8368,13.2343,EPIC SANA Luanda
616,Villalba,PR,81.28,overcast clouds,18.1272,-66.4921,La terapia
622,Pedernales,DO,80.78,overcast clouds,18.0384,-71.744,Hotel Costa Marina
624,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
627,Union Hidalgo,MX,77.67,clear sky,16.4723,-94.8295,"Posada "" Esquipulas"""
631,The Valley,AI,77.83,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
633,Odienne,CI,83.64,clear sky,9.51,-7.5692,Oustaz Vame DIAKITE
637,Jaltenango,MX,81.91,few clouds,15.8719,-92.7247,Finca Jaltenango Hotel Boutique
642,San Martin,AR,77.54,clear sky,-33.081,-68.4681,Finca Vivencias
643,Alenquer,BR,79.14,overcast clouds,-1.9417,-54.7383,Detinha Hotel
646,Kindu,CD,75.16,overcast clouds,-2.95,25.95,Résidence Okanda
647,Catuday,PH,75.4,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
650,Doembang Nangbuat,TH,84.07,broken clouds,14.8333,100.1,ธาราริน วิลล่า
654,Katobu,ID,75.18,scattered clouds,-4.9408,122.5276,La Ode Husein
656,San Diego,US,78.28,clear sky,32.7153,-117.1573,Hilton San Diego Bayfront
658,Sao Paulo De Olivenca,BR,83.35,overcast clouds,-3.3783,-68.8725,
664,General Pico,AR,78.57,clear sky,-35.6566,-63.7568,Euskadi Hotel
667,Dhidhdhoo,MV,80.49,scattered clouds,6.8833,73.1,Dhidhoo beach
669,Cockburn Town,TC,80.56,few clouds,21.4612,-71.1419,Osprey Beach Hotel
672,Gamba,GA,77.59,broken clouds,-2.65,10.0,
687,Axim,GH,80.15,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
688,Springbok,ZA,77.86,few clouds,-29.6643,17.8865,Undulata Country Lodge
689,Auki,SB,78.87,overcast clouds,-8.7676,160.7034,Auki Motel
696,Mitsamiouli,KM,80.89,few clouds,-11.3847,43.2844,Foyer ADM
